problem,optimizer,run_idx,fx_best,site
Armistead,nlopt_34,10,-301.9161496530422,ft3
Armistead,nlopt_36,1,-301.91618458052653,ft3
Armistead,nlopt_36,2,-301.916184113753,ft3
Armistead,nlopt_36,3,-301.916183982953,ft3
Armistead,nlopt_36,4,-301.9161843643127,ft3
Armistead,nlopt_36,5,-301.9161842423788,ft3
Armistead,nlopt_36,6,-301.91618404358877,ft3
Armistead,nlopt_36,7,-301.9161841259055,ft3
Armistead,nlopt_36,8,-301.9161839680884,ft3
Armistead,nlopt_36,9,-301.91618403359143,ft3
Armistead,nlopt_36,10,-301.91618537378315,ft3
Armistead,nlopt_37,1,-301.9161848972709,ft3
Armistead,nlopt_37,2,-301.91618505073734,ft3
Armistead,nlopt_37,3,-301.9161840681797,ft3
Armistead,nlopt_37,4,-301.91618466326656,ft3
Armistead,nlopt_37,5,-301.916184154212,ft3
Armistead,nlopt_37,6,-301.9161842774367,ft3
Armistead,nlopt_37,7,-301.916184330389,ft3
Armistead,nlopt_37,8,-301.9161841253416,ft3
Armistead,nlopt_37,9,-301.91618407853514,ft3
Armistead,nlopt_37,10,-301.9161839880743,ft3
Armistead,nlopt_39,1,-301.9161833358286,ft3
Armistead,nlopt_39,2,-301.9161830546417,ft3
Armistead,nlopt_39,3,-301.91618307040164,ft3
Armistead,nlopt_39,4,-301.9161822344629,ft3
Armistead,nlopt_39,5,-301.91618330717495,ft3
Armistead,nlopt_39,6,-301.9161831525246,ft3
Armistead,nlopt_39,7,-301.9161816534746,ft3
Armistead,nlopt_39,8,-301.9161827151802,ft3
Armistead,nlopt_39,9,-301.91618305349823,ft3
Armistead,nlopt_39,10,-301.91618274781115,ft3
Armistead,tnc,1,-301.8547716334908,ft3
Armistead,tnc,2,-301.9042581373243,ft3
Armistead,tnc,3,-301.8661296491101,ft3
Armistead,tnc,4,-301.88747096860243,ft3
Armistead,tnc,5,-301.89581517975455,ft3
Armistead,tnc,6,-301.85323430463166,ft3
Armistead,tnc,7,-301.8868372055493,ft3
Armistead,tnc,8,-301.85868456073575,ft3
Armistead,tnc,9,-301.84232668933805,ft3
Armistead,tnc,10,-301.8834636015725,ft3
Armistead,trust-krylov,1,-301.858342229993,ft3
Armistead,trust-krylov,2,-301.8514536172494,ft3
Armistead,trust-krylov,3,-301.86950320030166,ft3
Armistead,trust-krylov,4,-301.8753160506641,ft3
Armistead,trust-krylov,5,-301.83695401593104,ft3
Armistead,trust-krylov,6,-301.8816419194189,ft3
Armistead,trust-krylov,7,-301.8471130131139,ft3
Armistead,trust-krylov,8,-301.8466288235486,ft3
Armistead,trust-krylov,9,-301.86413080926354,ft3
Armistead,trust-krylov,10,-301.852659071807,ft3
Armistead,trust-ncg,1,-301.9073969744233,ft3
Armistead,trust-ncg,2,-301.8435161941584,ft3
Armistead,trust-ncg,3,-301.8399160242308,ft3
Armistead,trust-ncg,4,-301.87287385304,ft3
Armistead,trust-ncg,5,-301.86124134733524,ft3
Armistead,trust-ncg,6,-301.8483498374123,ft3
Armistead,trust-ncg,7,-301.82996518823643,ft3
Armistead,trust-ncg,8,-301.8455787829365,ft3
Armistead,trust-ncg,9,-301.8394298032229,ft3
Armistead,trust-ncg,10,-301.84552813732546,ft3
Beer,SLSQP,1,-12185.171515938537,ft3
Beer,SLSQP,2,-13739.465688237766,ft3
Beer,SLSQP,3,-11789.471110049497,ft3
Beer,SLSQP,4,-14607.49487560655,ft3
Beer,SLSQP,5,-10803.686389613882,ft3
Beer,SLSQP,6,-13910.234255674219,ft3
Beer,SLSQP,7,-7609.411777832278,ft3
Beer,SLSQP,8,-855.3402511837128,ft3
Beer,SLSQP,9,-11718.090680884205,ft3
Beer,SLSQP,10,-12716.803734395686,ft3
Beer,COBYLA,1,-2346.9891505319106,ft3
Beer,COBYLA,2,-3306.5768137454393,ft3
Beer,COBYLA,3,-4154.222668712551,ft3
Beer,COBYLA,4,-2628.1765951962234,ft3
Beer,COBYLA,5,-5171.948762935179,ft3
Beer,COBYLA,6,-2480.1230655839336,ft3
Beer,COBYLA,7,-3899.342116808925,ft3
Beer,COBYLA,8,-5373.2536837033595,ft3
Beer,COBYLA,9,20.07942845480727,ft3
Beer,COBYLA,10,-3212.2453760448852,ft3
Beer,fides,1,-13218.683535952297,ft3
Beer,fides,2,-16270.457274480117,ft3
Beer,fides,3,-15872.261299105048,ft3
Beer,fides,4,-13903.282141612348,ft3
Beer,fides,5,-16030.487142476031,ft3
Beer,fides,6,-26857.98690653842,ft3
Beer,fides,7,-18407.454073488403,ft3
