problem,optimizer,run_idx,optimality_gap
Laske,fides,1,88.1780792044757
Laske,fides,1,86.25483107264483
Laske,fides,1,57.30251659824421
Laske,fides,1,35.919761457859295
Laske,fides,1,6.196698336680129e-07
Laske,fides,1,57.260783193186285
Laske,fides,1,58.84789820001686
Laske,fides,1,152.38379443743395
Laske,fides,1,82.2775288820796
Laske,fides,1,102.89696701958474
Laske,fides,1,89.17509531633112
Laske,fides,1,14.129770436527906
Laske,fides,1,99.18148973631543
Laske,fides,1,100.51429915494083
Laske,fides,1,23.321014023503494
Laske,fides,1,97.70847346871085
Laske,fides,1,99.18148851489241
Laske,fides,1,68.30946107442855
Laske,fides,1,98.77117100978506
Laske,fides,1,27.035187718989164
Laske,fides,1,96.51849988447151
Laske,fides,1,87.47323498065509
Laske,fides,1,93.77247286635537
Laske,fides,1,87.4731917614597
Laske,fides,1,35.92013423907298
Laske,fides,1,100.48448235935234
Laske,fides,1,138.0457935322973
Laske,fides,1,68.64915251156549
Laske,fides,1,100.5143733436579
Laske,fides,1,128438.84888168742
Laske,fides,1,49.91278767893266
Laske,fides,1,70.0669878463674
Laske,fides,1,84.0693058690548
Laske,fides,1,121.52459867055524
Laske,fides,1,92.1154736334882
Laske,fides,1,66.41802718787562
Laske,fides,1,122.71349957138801
Laske,fides,1,97.70800935180688
Laske,fides,1,95.48576692590808
Laske,fides,1,140.17482815940002
Laske,fides,1,125.27722285569337
Laske,fides,1,99.82431048612
Laske,fides,1,102.89683644284833
Laske,fides,1,4.4493737050288473e-07
Laske,fides,1,102.50248782363275
Laske,fides,1,121.52482645684148
Laske,fides,1,73.70150529720155
Laske,fides,1,39.149831966802424
Laske,fides,1,122.71348493388234
Laske,fides,1,49.912795331056486
Laske,fides,1,103.49744040262783
Laske,fides,1,57.192154391149415
Laske,fides,1,66.37605881065855
Laske,fides,1,85.39516826590494
Laske,fides,1,115.85064810271376
Laske,fides,1,88.51146686749297
Laske,fides,1,14.129769569081589
Laske,fides,1,82.37500720413226
Laske,fides,1,101.87858666636413
Laske,fides,1,73.70158073785694
Laske,fides,1,14.129769494861364
Laske,fides,1,23.32101375847276
Laske,fides,1,99.47391713800414
Laske,fides,1,112.94297945207893
Laske,fides,1,89688.97571076553
Laske,fides,1,314945.1752998123
Laske,fides,1,33.671869013615265
Laske,fides,1,89.16671879113596
Laske,fides,1,84.08335120192771
Laske,fides,1,129.07314944132327
Laske,fides,1,8607.306671879622
Laske,fides,1,103.49752692740282
Laske,fides,1,105.42084711085477
